"Dataset","Preprocessing","Var_Selection","Model_Method","Best_Depth","Best_Eta","Best_Nrounds","R2","RMSE","MAE"
"Dataset 2 with Ref 2","Raw","None","XGBoost",3,0.05,100,-0.291320832944343,2.09205438507033,1.12199299429586
"Dataset 2 with Ref 2","Raw","VIP","XGBoost",3,0.05,100,-0.0539442655878535,1.89001266368731,0.981497541695471
"Dataset 2 with Ref 2","Raw","GA","XGBoost",3,0.05,100,-0.202487601193152,2.01881347570859,1.07106899133508
"Dataset 2 with Ref 2","Raw","PCA","XGBoost",3,0.1,200,0.152648365531767,1.69468009026607,0.871275668032062
"Dataset 2 with Ref 2","Raw","Kernel_PCA","XGBoost",3,0.1,100,0.124335727672395,1.72275971140202,0.920975591663837
"Dataset 2 with Ref 2","SNV","None","XGBoost",3,0.05,100,0.198407535263225,1.64828651083682,0.812432207402712
"Dataset 2 with Ref 2","SNV","VIP","XGBoost",3,0.1,100,0.246682046191251,1.59788327313977,0.7384313159586
"Dataset 2 with Ref 2","SNV","GA","XGBoost",3,0.05,100,0.190799307119945,1.65609030388668,0.796030544153185
"Dataset 2 with Ref 2","SNV","PCA","XGBoost",3,0.05,100,-0.10959020522917,1.93926517561794,0.950472495921103
"Dataset 2 with Ref 2","SNV","Kernel_PCA","XGBoost",3,0.05,100,0.15441484970719,1.69291270865006,0.835184729943672
"Dataset 2 with Ref 2","1st_Der","None","XGBoost",3,0.05,100,0.18396357960333,1.66307050974859,0.835621046764012
"Dataset 2 with Ref 2","1st_Der","VIP","XGBoost",3,0.05,100,0.185053440299705,1.6619595784709,0.8190303255189
"Dataset 2 with Ref 2","1st_Der","GA","XGBoost",3,0.05,100,0.170585396926148,1.67664736300776,0.85282614424113
"Dataset 2 with Ref 2","1st_Der","PCA","XGBoost",3,0.05,100,0.0630672402544779,1.78200986377752,0.92086196324859
"Dataset 2 with Ref 2","1st_Der","Kernel_PCA","XGBoost",3,0.05,100,0.175165217134835,1.67201194132605,0.809538443418156
"Dataset 2 with Ref 2","2nd_Der","None","XGBoost",3,0.05,100,-0.12908450072924,1.95622639451282,1.00905374075527
"Dataset 2 with Ref 2","2nd_Der","VIP","XGBoost",6,0.05,100,0.0279493039842226,1.81509913268267,0.861992663517386
"Dataset 2 with Ref 2","2nd_Der","GA","XGBoost",3,0.1,100,0.0388868101978693,1.80485850427597,0.923438502378153
"Dataset 2 with Ref 2","2nd_Der","PCA","XGBoost",3,0.05,100,0.235024755720659,1.61019910890554,0.807642131619539
"Dataset 2 with Ref 2","2nd_Der","Kernel_PCA","XGBoost",3,0.05,100,0.0504444435100784,1.7939737384091,0.86434476698394
"Dataset 2 with Ref 2","EMSC","None","XGBoost",3,0.1,100,0.348484049479159,1.48599866000714,0.793733227943702
"Dataset 2 with Ref 2","EMSC","VIP","XGBoost",3,0.05,100,0.172636469998764,1.67457297528718,0.847015311918309
"Dataset 2 with Ref 2","EMSC","GA","XGBoost",3,0.05,100,0.237683971146365,1.60739797645677,0.783142463693992
"Dataset 2 with Ref 2","EMSC","PCA","XGBoost",3,0.05,100,-0.0444941481546943,1.88152025108566,0.978420651635824
"Dataset 2 with Ref 2","EMSC","Kernel_PCA","XGBoost",3,0.05,100,-0.0294706605326811,1.86793981192277,0.977284955893459
"Dataset 2 with Ref 2","RNV","None","XGBoost",3,0.05,100,-0.206573632619486,2.02224051302026,1.06055921922917
"Dataset 2 with Ref 2","RNV","VIP","XGBoost",3,0.05,100,-0.00840665239006189,1.84873108022317,0.939308939408622
"Dataset 2 with Ref 2","RNV","GA","XGBoost",3,0.1,100,0.122018113300199,1.72503801281593,0.905141204113628
"Dataset 2 with Ref 2","RNV","PCA","XGBoost",3,0.1,100,0.0527155719007745,1.79182705841028,0.941209288400539
"Dataset 2 with Ref 2","RNV","Kernel_PCA","XGBoost",3,0.05,100,-0.333847492825695,2.12622382319195,1.16055440317412
"Dataset 2 with Ref 3","Raw","None","XGBoost",3,0.05,100,0.387522696336885,0.164930559064247,0.120827283423917
"Dataset 2 with Ref 3","Raw","VIP","XGBoost",3,0.1,100,0.411100413711156,0.161724849547925,0.121610342532788
