"Dataset","Preprocessing","Var_Selection","ncomp","R2_CV","RMSECV","RPD_CV"
"Dataset 2 with Ref 4","SNV","SR",3,0.568243429367453,0.0982273093169758,1.86213632945372
"Dataset 2 with Ref 4","SNV","sMC",4,0.586282920469419,0.0961533667102894,1.90230095400347
"Dataset 2 with Ref 4","SNV","UVE",3,0.580295946931056,0.0968465940115498,1.88868429592697
"Dataset 2 with Ref 4","SNV","GA",5,0.533036903034024,0.102153688004134,1.79056326597064
"Dataset 2 with Ref 4","1st_Der","None",2,0.164047465148027,0.136679562369663,1.33825890317767
"Dataset 2 with Ref 4","1st_Der","VIP",2,0.158583836110619,0.137125490926959,1.33390691976489
"Dataset 2 with Ref 4","1st_Der","SR",1,0.135542645891476,0.138990320606682,1.3160099237503
"Dataset 2 with Ref 4","1st_Der","sMC",2,0.178287780520103,0.135510404830923,1.34980514191401
"Dataset 2 with Ref 4","1st_Der","UVE",1,0.0716415658249577,0.144035854599784,1.26991047980288
"Dataset 2 with Ref 4","1st_Der","GA",3,0.0921986790239938,0.142432197644236,1.28420851639531
"Dataset 2 with Ref 4","2nd_Der","None",2,0.174534062460193,0.135819569186236,1.34673259766285
"Dataset 2 with Ref 4","2nd_Der","VIP",2,0.171729782011664,0.136050077323757,1.34445084355486
"Dataset 2 with Ref 4","2nd_Der","SR",5,0.121141955598425,0.140143234317289,1.30518352965587
"Dataset 2 with Ref 4","2nd_Der","sMC",2,0.153321545488997,0.137553620015596,1.32975519803034
"Dataset 2 with Ref 4","2nd_Der","UVE",1,0.124127449384175,0.139904997500982,1.30740605761667
